,08031000_event_rainfall,08029500_event_rainfall,08025500_event_rainfall,08041300_event_rainfall,08011000_event_rainfall,08010000_event_rainfall,07376000_event_rainfall,07376500_event_rainfall,07375960_event_rainfall,07375800_event_rainfall,07378000_event_rainfall,07377240_event_rainfall,07377782_event_rainfall,07377500_event_rainfall,07375000_event_rainfall,08014800_event_rainfall,02481000_event_rainfall,02492343_event_rainfall,02492360_event_rainfall,07382000_event_rainfall,07383500_event_rainfall,07375280_event_rainfall,02488700_event_rainfall,02487900_event_rainfall,02485700_event_rainfall
1982-11-18 00:00:00+00:00,,,,,,,,,,,,2.1830227,,,,,,,,,,,,,
1982-11-23 00:00:00+00:00,,,,,,,,,,,,0.42435226,,,,,,,,,,,,,
1982-11-27 00:00:00+00:00,,,,,,,,,,,,2.573875,,,,,,,,,,,,,
1982-11-30 00:00:00+00:00,,,,,,,,,,,,1.4739319,,,,,,,,,,,,,
1982-12-02 00:00:00+00:00,,,,,,,,,,,,19.069204,,,,,,,,,,,,,
1982-12-09 00:00:00+00:00,,,,,,,,,,,,3.141477,,,,,,,,,,,,,
1982-12-14 00:00:00+00:00,,,,,,,,,,,,1.8507726,,,,,,,,,,,,,
1982-12-18 00:00:00+00:00,,,,,,,,,,,,0.101068184,,,,,,,,,,,,,
1982-12-21 00:00:00+00:00,,,,,,,,,,,,0.6336591,,,,,,,,,,,,,
1982-12-23 00:00:00+00:00,,,,,,,,,,,,0.9079205,,,,,,,,,,,,,
1982-12-25 00:00:00+00:00,,,,,,,,,,,,8.2451935,,,,,,,,,,,,,
1982-12-31 00:00:00+00:00,,,,,,,,,,,,5.1184773,,,,,,,,,,,,,
1983-01-07 00:00:00+00:00,,,,,,,,,,,,2.6863637,,,,,,,,,,,,,
1983-01-19 00:00:00+00:00,,,,,,,,,,,,7.175227,,,,,,,,,,,,,
1983-01-24 00:00:00+00:00,,,,,,,,,,,,1.0769886,,,,,,,,,,,,,
1983-01-26 00:00:00+00:00,,,,,,,,,,,,0.09840909,,,,,,,,,,,,,
1983-01-29 00:00:00+00:00,,,,,,,,,,,,1.2872727,,,,,,,,,,,,,
1983-01-31 00:00:00+00:00,,,,,,,,,,,,5.9806137,,,,,,,,,,,,,
1983-02-05 00:00:00+00:00,,,,,,,,,,,,4.1706705,,,,,,,,,,,,,
1983-02-08 00:00:00+00:00,,,,,,,,,,,,2.8245227,,,,,,,,,,,,,
1983-02-15 00:00:00+00:00,,,,,,,,,,,,0.59384096,,,,,,,,,,,,,
1983-02-20 00:00:00+00:00,,,,,,,,,,,,3.3977726,,,,,,,,,,,,,
1983-02-26 00:00:00+00:00,,,,,,,,,,,,1.2759317,,,,,,,,,,,,,
1983-03-04 00:00:00+00:00,,,,,,,,,,,,2.9918978,,,,,,,,,,,,,
1983-03-16 00:00:00+00:00,,,,,,,,,,,,0.0036363634,,,,,,,,,,,,,
1983-03-19 00:00:00+00:00,,,,,,,,,,,,2.725,,,,,,,,,,,,,
1983-03-23 00:00:00+00:00,,,,,,,,,,,,3.6980114,,,,,,,,,,,,,
1983-03-26 00:00:00+00:00,,,,,,,,,,,,2.5355568,,,,,,,,,,,,,
1983-03-29 00:00:00+00:00,,,,,,,,,,,,0.65003407,,,,,,,,,,,,,
1983-04-01 00:00:00+00:00,,,,,,,,,,,,0.38967043,,,,,,,,,,,,,
1983-04-13 00:00:00+00:00,,,,,,,,,,,,5.006796,,,,,,,,,,,,,
1983-04-20 00:00:00+00:00,,,,,,,,,,,,0.112863645,,,,,,,,,,,,,
1983-04-22 00:00:00+00:00,,,,,,,,,,,,1.6083066,,,,,,,,,,,,,
1983-05-02 00:00:00+00:00,,,,,,,,,,,,0.168,,,,,,,,,,,,,
1983-05-07 00:00:00+00:00,,,,,,,,,,,,0.1805341,,,,,,,,,,,,,
1983-05-10 00:00:00+00:00,,,,,,,,,,,,0.10976137,,,,,,,,,,,,,
1983-05-15 00:00:00+00:00,,,,,,,,,,,,3.1262388,,,,,,,,,,,,,
1983-05-19 00:00:00+00:00,,,,,,,,,,,,5.6449437,,,,,,,,,,,,,
1983-05-21 00:00:00+00:00,,,,,,,,,,,,8.168193,,,,,,,,,,,,,
1983-06-04 00:00:00+00:00,,,,,,,,,,,,2.6416364,,,,,,,,,,,,,
1983-06-06 00:00:00+00:00,,,,,,,,,,,,4.073602,,,,,,,,,,,,,
1983-06-14 00:00:00+00:00,,,,,,,,,,,,3.5106475,,,,,,,,,,,,,
1983-06-17 00:00:00+00:00,,,,,,,,,,,,1.8914545,,,,,,,,,,,,,
1983-06-19 00:00:00+00:00,,,,,,,,,,,,1.2938637,,,,,,,,,,,,,
1983-06-22 00:00:00+00:00,,,,,,,,,,,,3.5611024,,,,,,,,,,,,,
1983-06-24 00:00:00+00:00,,,,,,,,,,,,4.5261025,,,,,,,,,,,,,
1983-06-26 00:00:00+00:00,,,,,,,,,,,,3.5133865,,,,,,,,,,,,,
1983-06-28 00:00:00+00:00,,,,,,,,,,,,1.1912273,,,,,,,,,,,,,
1983-07-05 00:00:00+00:00,,,,,,,,,,,,4.8482504,,,,,,,,,,,,,
1983-07-19 00:00:00+00:00,,,,,,,,,,,,1.8595226,,,,,,,,,,,,,
1983-07-30 00:00:00+00:00,,,,,,,,,,,,1.6304773,,,,,,,,,,,,,
1983-08-01 00:00:00+00:00,,,,,,,,,,,,22.082489,,,,,,,,,,,,,
1983-08-05 00:00:00+00:00,,,,,,,,,,,,0.70420456,,,,,,,,,,,,,
1983-08-10 00:00:00+00:00,,,,,,,,,,,,1.7319319,,,,,,,,,,,,,
1983-08-12 00:00:00+00:00,,,,,,,,,,,,1.308375,,,,,,,,,,,,,
1983-08-16 00:00:00+00:00,,,,,,,,,,,,1.8438861,,,,,,,,,,,,,
1983-08-18 00:00:00+00:00,,,,,,,,,,,,1.3049886,,,,,,,,,,,,,
1983-08-23 00:00:00+00:00,,,,,,,,,,,,1.0113182,,,,,,,,,,,,,
1983-08-26 00:00:00+00:00,,,,,,,,,,,,0.7834433,,,,,,,,,,,,,
1983-09-02 00:00:00+00:00,,,,,,,,,,,,1.0453296,,,,,,,,,,,,,
1983-09-05 00:00:00+00:00,,,,,,,,,,,,3.024466,,,,,,,,,,,,,
1983-09-10 00:00:00+00:00,,,,,,,,,,,,0.790625,,,,,,,,,,,,,
1983-09-12 00:00:00+00:00,,,,,,,,,,,,1.1214318,,,,,,,,,,,,,
1983-09-18 00:00:00+00:00,,,,,,,,,,,,3.509932,,,,,,,,,,,,,
1983-09-20 00:00:00+00:00,,,,,,,,,,,,2.4772048,,,,,,,,,,,,,
1983-10-11 00:00:00+00:00,,,,,,,,,,,,2.1228638,,,,,,,,,,,,,
1983-10-21 00:00:00+00:00,,,,,,,,,,,,3.0177045,,,,,,,,,,,,,
1983-11-04 00:00:00+00:00,,,,,,,,,,,,1.35875,,,,,,,,,,,,,
1983-11-06 00:00:00+00:00,,,,,,,,,,,,0.117886364,,,,,,,,,,,,,
1983-11-13 00:00:00+00:00,,,,,,,,,,,,1.3672159,,,,,,,,,,,,,
1983-11-19 00:00:00+00:00,,,,,,,,,,,,3.401841,,,,,,,,,,,,,
1983-11-22 00:00:00+00:00,,,,,,,,,,,,3.0059886,,,,,,,,,,,,,
1983-11-26 00:00:00+00:00,,,,,,,,,,,,3.5324662,,,,,,,,,,,,,
1983-12-03 00:00:00+00:00,,,,,,,,,,,,1.951659,,,,,,,,,,,,,
1983-12-05 00:00:00+00:00,,,,,,,,,,,,2.3184545,,,,,,,,,,,,,
1983-12-10 00:00:00+00:00,,,,,,,,,,,,11.012,,,,,,,,,,,,,
1983-12-13 00:00:00+00:00,,,,,,,,,,,,0.822,,,,,,,,,,,,,
