usgs_site_no,year,days,flow(mm),baseflow(mm),rainfall(mm),ET(mm),ET/day(mm/day),MODIS_ET(mm/day),MODIS_PET(mm/day),DI,Budyko_ET(mm/day),<ET/R>,<Qb/Qf>
02236500,2009,365.0,15.902420454545453,8.858556171156257,1232.5613,1216.6589179701373,3.3333121040277733,1.970477538838295,4.95645366189638,1.467761170969283,2.7622371940264387,0.987098117072273,0.5570570968411404
02236500,2010,365.0,63.58818961631543,36.45562518999351,1229.1993,1165.6111950730156,3.193455328967166,2.045255223081044,5.040222698400551,1.4966500744203786,2.7731559149649634,0.9482686463980194,0.573308116019075
02236500,2011,365.0,29.69934802424383,17.685642862260877,1242.6836,1212.9842924557977,3.323244636865199,2.0364773857809753,5.040750746154435,1.4805651507752262,2.793272704252182,0.9761006732175647,0.595489262856004
02236500,2012,364.0,44.93014353594866,29.030495787097244,1215.0093,1170.0790787927142,3.2145029637162477,2.004698232438868,4.966382757883811,1.4878596876410972,2.7431765683878355,0.9630206950771092,0.6461251512332675
02236500,2013,365.0,54.69737093437985,37.417764791819444,1236.7574,1182.0600505591503,3.2385206864634255,2.065630978801561,5.045783270834928,1.4891447788577072,2.7854476700342907,0.9557735464669861,0.6840870804688097
02236500,2014,365.0,139.37095889895753,85.27962760449545,1498.2876,1358.916631127898,3.723059263364104,2.0772510905334047,4.87559041861177,1.1877496053341723,3.091082993730009,0.906979830343408,0.6118895089637884
02236500,2015,365.0,205.45763906741325,160.03972591011612,1348.3413,1142.883658082245,3.1311881043349175,2.2078120456110817,4.94354480753042,1.3382322734222927,2.9213667283873397,0.8476219268800814,0.7789426892888858
02236500,2016,365.0,217.73158682755286,144.78038880770706,1451.1798,1233.4481769663926,3.3793100738805277,2.11614845681839,5.001783588240681,1.258046037898236,3.0677874204923223,0.849962333290463,0.6649489443273823
02236500,2017,365.0,177.01339342716577,116.59986254545746,1502.3439,1325.330497716633,3.6310424594976247,2.1550746154434837,4.954890181372924,1.2038088947697816,3.1175592014554154,0.8821751946112408,0.6587064418570894
02236500,2018,365.0,172.49338610637136,111.4392727968532,1595.8535,1423.3600513173346,3.8996165789516017,2.11713706283003,4.756524068263565,1.0879014069385078,3.163016239714473,0.8919114676762109,0.6460495402886464
